id,name,host_id,host_name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,number_of_reviews_l30d,calculated_host_listings_count,availability_365,review_scores_rating
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,49.26328,-123.07086,Entire home/apt,$100.00,365,6,2019-12-21,0,5,90,4
322824,Modern Yaletown 1BR | GREAT VIEW + CENTRAL,1652613,Blake,49.27608,-123.12452,Entire home/apt,$145.00,30,152,2023-01-09,0,2,287,4.89
359942,Stylish Modern Central Downtown?????????????????????,1200456,Nala,49.27634,-123.11825,Private room,$258.00,2,46,2022-09-11,0,6,364,4.86
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,49.27799,-123.07101,Private room,$48.00,30,59,2022-10-11,0,1,94,4.69
415700,"LARGE PRIVATE ROOM+BATH, KING BED, dedicated entry",83871,Adam,49.2332,-123.0551,Private room,$63.00,30,237,2022-11-30,0,3,73,4.73
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,49.28211,-123.10453,Entire home/apt,$285.00,3,131,2023-02-24,1,1,275,4.83
448104,Home (Office) Away from Home ?€? Heart of Downtown,179396,Lili,49.28063,-123.12502,Entire home/apt,$148.00,30,268,2023-03-01,1,4,60,4.88
461370,Lovely large room w/ private bath,1200456,Nala,49.22834,-123.03047,Private room,$140.00,2,48,2022-10-23,0,6,365,4.64
461386,Beautiful room (s) Vancouver Home,1200456,Nala,49.23034,-123.02971,Private room,$135.00,2,41,2022-09-23,0,6,365,4.39
464172,"House in sought-after Sunrise Hastings, Vancouver",2189535,Martine,49.28586,-123.05563,Entire home/apt,$281.00,3,5,2022-08-13,0,1,14,4.8
475296,Inspiring Gastown loft with deck + rooftop,2356016,Jocelyn,49.28241,-123.10381,Entire home/apt,$350.00,2,199,2023-03-07,3,1,289,4.86
485225,Vancouver One Bedroom,103427,Jacqueline M,49.28052,-123.12691,Entire home/apt,$377.00,2,1,2014-08-04,0,2,365,4
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,49.28062,-123.11815,Entire home/apt,$131.00,31,162,2023-02-10,0,1,254,4.92
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,49.25099,-123.07457,Entire home/apt,$375.00,9,35,2022-08-28,0,2,66,4.7
507767,Level | One Bedroom Suite | Downtown Vancouver,2502595,Level Hotels And Furnished Suites,49.27741,-123.12292,Entire home/apt,$170.00,30,3,2020-07-30,0,41,365,5
540348,Modern Architectural lakeside Home On The Park,2655554,Kristen,49.25759,-123.06393,Entire home/apt,$429.00,1,67,2023-03-11,3,1,290,4.9
557357,Commercial Dr West Coast Garden Ste,525761,Diane,49.27917,-123.06246,Entire home/apt,$80.00,30,194,2022-10-31,0,1,28,4.89
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Arash,49.27999,-123.1075,Entire home/apt,$622.00,2,56,2022-07-08,0,2,118,4.96
625396,Close to Jericho beach garden level open space.,3102862,The Vancouver Connection!,49.27066,-123.18291,Entire home/apt,$250.00,2,171,2022-09-25,0,1,355,4.76
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,49.26775,-123.06862,Entire home/apt,$61.00,30,64,2022-10-06,0,1,204,4.88
654744,English Bay Hideaway @ Stanley Park,2796859,James,49.29178,-123.14175,Entire home/apt,$150.00,30,70,2023-02-19,1,1,190,4.75
654763,1 Bedroom Private Furnished Suite,2459577,Allison,49.2506,-123.07175,Entire home/apt,$52.00,30,23,2022-12-19,0,2,104,4.71
659986,Nice room in amazing luxury home near DOWNTOWN+UBC,84820,Chris,49.24413,-123.11955,Private room,$102.00,31,27,2018-05-06,0,1,0,4.33
703179,Entire cute  condo full of art,3246254,Izabela,49.27945,-123.10875,Entire home/apt,$140.00,3,174,2023-01-15,0,1,0,4.8
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,49.28104,-123.13621,Entire home/apt,$135.00,30,89,2023-01-10,0,1,168,4.76
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,49.26026,-123.18195,Entire home/apt,$155.00,31,13,2022-10-11,0,1,199,4.92
735468,English Bay Views,3462044,Shea,49.28059,-123.1364,Entire home/apt,$201.00,1,184,2022-11-27,0,1,297,4.64
755558,Kitsilano 2 bdrm Garden Level Suite,3976484,Lori,49.25996,-123.16653,Entire home/apt,$125.00,2,78,2021-01-23,0,1,0,4.86
763445,Very convenient mini-suite,169365,Peter,49.24438,-123.04453,Entire home/apt,$66.00,3,209,2023-02-21,2,1,16,4.78
